 Sample_ID,Age,1σ,Isotopic ratios,,,,,,,,,,,,,
,,,176Hf/177Hf,1σ,176Lu/177Hf,1σ,176Yb/177Hf,1σ,εHf(0),1σ,εHf(t),1σ,TDM1,TDM2,fLu/Hf,
LH16-76-26-HF,216 ,3 ,0.28249 ,0.00001 ,0.00081 ,0.00001 ,0.02150 ,0.00036 ,-9.80 ,0.65 ,-5.27 ,0.66 ,1065.41 ,1408.69 ,-0.98 ,
LH16-76-32-HF,209 ,3 ,0.28247 ,0.00001 ,0.00079 ,0.00001 ,0.02083 ,0.00022 ,-10.68 ,0.67 ,-6.28 ,0.68 ,1099.19 ,1459.37 ,-0.98 ,
LH16-76-36-HF,215 ,2 ,0.28249 ,0.00001 ,0.00084 ,0.00001 ,0.02199 ,0.00035 ,-10.07 ,0.63 ,-5.48 ,0.64 ,1076.79 ,1422.40 ,-0.97 ,
LH16-76-38-HF,215 ,3 ,0.28250 ,0.00001 ,0.00071 ,0.00001 ,0.01827 ,0.00025 ,-9.65 ,0.63 ,-5.10 ,0.64 ,1056.73 ,1399.52 ,-0.98 ,
SZ14-2-01,219 ,3 ,0.28261 ,0.00002 ,0.00102 ,0.00003 ,0.02662 ,0.00079 ,-5.60 ,0.75 ,-0.99 ,0.77 ,903.97 ,1175.09 ,-0.97 ,
SZ14-2-02,203 ,2 ,0.28251 ,0.00001 ,0.00093 ,0.00001 ,0.02235 ,0.00052 ,-9.31 ,0.72 ,-5.04 ,0.73 ,1049.14 ,1386.71 ,-0.97 ,
SZ14-2-03,213 ,2 ,0.28248 ,0.00002 ,0.00099 ,0.00002 ,0.02422 ,0.00024 ,-10.48 ,0.74 ,-5.96 ,0.75 ,1097.38 ,1447.34 ,-0.97 ,
SZ14-2-04,214 ,2 ,0.28248 ,0.00001 ,0.00108 ,0.00002 ,0.02760 ,0.00049 ,-10.25 ,0.70 ,-5.68 ,0.72 ,1090.86 ,1434.00 ,-0.97 ,
SZ14-2-05,207 ,2 ,0.28251 ,0.00001 ,0.00096 ,0.00001 ,0.02296 ,0.00041 ,-9.36 ,0.70 ,-4.96 ,0.71 ,1052.11 ,1387.32 ,-0.97 ,
SZ14-2-06,208 ,2 ,0.28249 ,0.00002 ,0.00092 ,0.00001 ,0.02399 ,0.00026 ,-10.10 ,0.74 ,-5.67 ,0.75 ,1080.44 ,1427.47 ,-0.97 ,
SZ14-4-01,222 ,2 ,0.28250 ,0.00001 ,0.00084 ,0.00001 ,0.02080 ,0.00020 ,-9.67 ,0.62 ,-4.92 ,0.63 ,1061.26 ,1397.51 ,-0.97 ,
